u;theta rad;omega rad/s
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
0;0;0
5;0;0
5;1;0
5;1.912545455;15
5;3.939272727;20.26727273
5;6.094454545;21.55181818
5;8.349545455;22.55090909
5;10.70454545;23.55
5;13.17372727;24.69181818
5;15.72854545;25.54818182
5;18.39754545;26.69
5;21.16645455;27.68909091
5;24.021;28.54545455
5;26.96118182;29.40181818
5;30.00127273;30.40090909
5;33.14127273;31.4
5;36.33836364;31.97090909
5;39.64963636;33.11272727
5;43.018;33.68363636
5;46.48627273;34.68272727
5;50.01163636;35.25363636
5;53.62263636;36.11
5;57.29072727;36.68090909
5;61.04445455;37.53727273
5;64.86954545;38.25090909
5;68.75172727;38.82181818
5;72.71954545;39.67818182
5;76.74445455;40.24909091
5;80.82645455;40.82
5;84.97981818;41.53363636
5;89.19027273;42.10454545
5;93.45781818;42.67545455
5;97.79672727;43.38909091
5;102.1784545;43.81727273
5;106.6172727;44.38818182
5;111.1274545;45.10181818
5;115.6947273;45.67272727
5;120.2905455;45.95818182
5;124.9434545;46.52909091
5;129.6534545;47.1
5;134.4205455;47.67090909
5;139.2161818;47.95636364
5;144.0689091;48.52727273
5;148.9787273;49.09818182
5;153.9313636;49.52636364
5;158.9268182;49.95454545
5;163.9650909;50.38272727
5;169.0461818;50.81090909
5;174.1700909;51.23909091
5;179.3368182;51.66727273
5;184.5606364;52.23818182
5;189.813;52.52363636
5;195.1081818;52.95181818
5;200.4319091;53.23727273
5;205.7984545;53.66545455
5;211.2078182;54.09363636
5;216.66;54.52181818
5;222.1264545;54.66454545
5;227.6357273;55.09272727
5;233.1735455;55.37818182
5;238.7399091;55.66363636
5;244.3490909;56.09181818
5;249.9868182;56.37727273
5;255.6530909;56.66272727
5;261.3336364;56.80545455
5;267.057;57.23363636
5;272.8089091;57.51909091
5;278.5750909;57.66181818
5;284.3698182;57.94727273
5;290.1930909;58.23272727
5;296.0306364;58.37545455
5;301.8967273;58.66090909
5;307.7770909;58.80363636
5;313.7002727;59.23181818
5;319.6234545;59.23181818
5;325.5751818;59.51727273
5;331.5411818;59.66
5;337.5214545;59.80272727
