r;thetaT;omegaR;error;u;u_i;u_p;
0;0.0;0;0;0
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
10.0;0.0;0.0;10.0;16.01508;2.1642;13.85088;
10.0;0.28559933214452665;2.855993321445266;7.144006678554733;13.605383847758834;3.7103059253728157;9.895077922386019;
10.0;0.9995976625058433;7.139983303613167;2.8600166963868325;8.2906455447699;4.329270738804854;3.9613748059650455;
10.0;2.1705549242984024;11.709572617925591;-1.7095726179255912;1.5913765146160759;3.9592850328333973;-2.3679085182173214;
10.0;3.470031885555999;12.994769612575965;-2.994769612575965;-0.8368624598639114;3.311156993279707;-4.148019453143618;
10.0;4.7409489135991425;12.709170280431437;-2.7091702804314366;-1.0276008841934825;2.7248383611887355;-3.752439245382218;
10.0;5.940466108606155;11.995171950070125;-1.9951719500701248;-0.47044547822417027;2.293043247754559;-2.7634887259787293;
10.0;7.097143403791487;11.566772951853324;-1.5667729518533235;-0.21615616882215383;1.9539622455144627;-2.1701184143366166;
10.0;8.182420865940689;10.852774621492012;-0.8527746214920118;0.5882368669980338;1.7694047619311615;-1.1811678949331277;
10.0;9.22485842826821;10.42437562327521;-0.4243756232752105;1.0897638062509256;1.6775613895419403;-0.5877975832910148;
10.0;10.253016023988506;10.281575957202964;-0.28157595720296413;1.2266152414737357;1.6166227208840749;-0.3900074794103392;
10.0;11.224053753279897;9.710377292913908;0.2896227070860924;2.0804558032641087;1.679302867151647;0.40115293611246156;
10.0;12.166531549356835;9.42477796076938;0.5752220392306207;2.6005255647558;1.803792420881938;0.796733143873862;
10.0;13.166129211862678;9.995976625058436;0.0040233749415641284;1.8102358880378524;1.8046631596867913;0.005572728351061176;
10.0;14.180006840975748;10.1387762911307;-0.1387762911307;1.5824118192306462;1.7746291947602852;-0.19221737552963902;
10.0;15.208164436696043;10.281575957202946;-0.28157595720294637;1.323683046692109;1.7136905261024236;-0.3900074794103146;
10.0;16.23632203241634;10.281575957202964;-0.28157595720296413;1.262744378034219;1.652751857444558;-0.3900074794103392;
10.0;17.20735976170773;9.71037729291389;0.28962270708611015;2.1165849398246204;1.715432003712134;0.40115293611248615;
10.0;18.17839749099912;9.710377292913925;0.2896227070860746;2.179265086092139;1.7781121499797023;0.40115293611243696;
10.0;19.163715186897736;9.853176958986154;0.14682304101384602;2.0132504247477048;1.8098875925159188;0.20336283223178597;
10.0;20.19187278261803;10.281575957202946;-0.28157595720294637;1.3589414444477426;1.7489489238580571;-0.3900074794103146;
10.0;21.205750411731106;10.138776291130753;-0.1387762911307533;1.5266975834018268;1.7189149589315396;-0.19221737552971283;
10.0;22.233908007451397;10.28157595720291;-0.28157595720291084;1.2679688108634202;1.6579762902736856;-0.3900074794102654;
10.0;23.219225703350016;9.85317695898619;0.1468230410138105;1.8931145650416312;1.6897517328098945;0.20336283223173676;
10.0;24.19026343264141;9.710377292913925;0.2896227070860746;2.1535848151899;1.752431879077463;0.40115293611243696;
10.0;25.204141061754477;10.138776291130682;-0.13877629113068224;1.5301805386213463;1.7223979141509607;-0.1922173755296144;
10.0;26.218018690867545;10.138776291130682;-0.13877629113068224;1.500146573694844;1.6923639492244584;-0.1922173755296144;
10.0;27.246176286587843;10.281575957202982;-0.2815759572029819;1.2414178011562251;1.631425280566589;-0.39000747941036384;
10.0;28.274333882308138;10.281575957202946;-0.28157595720294637;1.1804791324984127;1.5704866119087273;-0.3900074794103146;
10.0;29.259651578206757;9.85317695898619;0.1468230410138105;1.8056248866766729;1.6022620544449362;0.20336283223173676;
10.0;30.230689307498146;9.71037729291389;0.28962270708611015;2.0660951368249982;1.664942200712512;0.40115293611248615;
10.0;31.201727036789535;9.71037729291389;0.28962270708611015;2.1287752830925744;1.727622346980088;0.40115293611248615;
10.0;32.20132469929538;9.995976625058418;0.004023374941581892;1.734065814136031;1.7284930857849452;0.00557272835108578;
10.0;33.21520232840845;10.138776291130753;-0.1387762911307533;1.506241745328715;1.6984591208584277;-0.19221737552971283;
10.0;34.2719198573432;10.567175289347475;-0.5671752893474746;0.7901233575661323;1.5757110447378473;-0.785587687171715;
10.0;35.27151751984904;9.995976625058418;0.004023374941581892;1.5821545118937903;1.5765817835427045;0.00557272835108578;
10.0;36.27111518235488;9.995976625058418;0.004023374941581892;1.5830252506986475;1.5774525223475617;0.00557272835108578;
10.0;37.24215291164627;9.71037729291389;0.28962270708611015;2.0412856047276238;1.6401326686151376;0.40115293611248615;
10.0;38.227470607544895;9.853176958986225;0.14682304101377497;1.8752709433830264;1.6719081111513387;0.20336283223168755;
10.0;39.24134823665796;10.138776291130682;-0.13877629113068224;1.4496567706952221;1.6418741462248365;-0.1922173755296144;
10.0;40.25522586577103;10.138776291130682;-0.13877629113068224;1.41962280576872;1.6118401812983343;-0.1922173755296144;
10.0;41.2691034948841;10.138776291130682;-0.13877629113068224;1.3895888408422177;1.581806216371832;-0.1922173755296144;
10.0;42.22586125756827;9.567577626841697;0.43242237315830323;2.27433410636384;1.675391066370752;0.598943039993088;
10.0;43.168339053645205;9.424777960769362;0.5752220392306384;2.5966137639749336;1.7998806201010469;0.7967331438738866;
10.0;44.08225691650769;9.139178628624833;0.8608213713751667;3.1784929329293474;1.9861795812940604;1.1923133516352868;
10.0;44.939054912941266;8.567979964335777;1.4320200356642232;4.2795711245706;2.2960973574125116;1.9834737671580878;
10.0;45.68161317651704;7.425582635757735;2.574417364242265;6.419047361585414;2.853252763381823;3.565794598203591;
10.0;46.32421167384222;6.425984973251815;3.574015026748185;8.577066420839255;3.626741095470665;4.950325325368591;
10.0;46.93825023795296;6.140385641107358;3.8596143588926424;9.807944368152103;4.462038835022211;5.345905533129892;
10.0;47.49516893563478;5.56918697681823;4.43081302318177;11.558021338152002;5.42095538949921;6.137065948652792;
10.0;48.06636759992384;5.711986642890565;4.288013357109435;12.288243085016827;6.348967240244834;5.939275844771993;
10.0;48.6946861306418;6.283185307179622;3.7168146928203782;12.301475705314212;7.15336027606502;5.148115429249192;
10.0;49.42296442761033;7.282782969685329;2.7172170303146714;11.50500508785021;7.741420385765721;3.7635847020844877;
10.0;50.22264255761501;7.996781300046791;2.0032186999532087;10.949591159490385;8.174956976809595;2.77463418268079;
10.0;51.036600654226916;8.139580966119055;1.8604190338809445;11.154432942922199;8.57758886412211;2.57684407880009;
10.0;51.893398650660494;8.567979964335777;1.4320200356642232;10.87098040739865;8.887506640240561;1.9834737671580878;
10.0;52.7644766137013;8.710779630408041;1.289220369591959;10.952203375905041;9.166519712627654;1.7856836632773876;
10.0;53.67839447656378;9.139178628624833;0.8608213713751667;10.545132025455954;9.352818673820668;1.1923133516352868;
10.0;54.635152239247944;9.567577626841626;0.4324223731583743;10.045346563812789;9.446403523819603;0.5989430399931863;
10.0;55.59191000193211;9.567577626841697;0.43242237315830323;10.13893141381161;9.539988373818522;0.598943039993088;
10.0;56.52010783140182;9.281978294697097;0.7180217053029025;10.689905879034765;9.695382631280177;0.9945232477545868;
10.0;57.41974572765709;8.99637896255264;1.0036210374473598;11.302689751720422;9.912586296204534;1.3901034555158887;
10.0;58.33366359051957;9.139178628624833;0.8608213713751667;11.291198609032834;10.098885257397548;1.1923133516352868;
10.0;59.26186141998928;9.281978294697097;0.7180217053029025;11.24880276261379;10.254279514859203;0.9945232477545868;
10.0;60.247179115887896;9.853176958986154;0.14682304101384602;10.489417789627206;10.28605495739542;0.20336283223178597;
10.0;61.31817661142987;10.709974955419739;-0.7099749554197388;9.149024386491064;10.13240217754348;-0.9833777910524152;
10.0;62.374894140364624;10.567175289347546;-0.5671752893475457;9.22406641425107;10.009654101422884;-0.7855876871718134;
10.0;63.374491802870466;9.995976625058418;0.004023374941581892;10.016097568578825;10.01052484022774;0.00557272835108578;
10.0;64.30268963234018;9.281978294697097;0.7180217053029025;11.160442345443983;10.165919097689395;0.9945232477545868;
10.0;65.2451674284171;9.42477796076929;0.5752220392307095;11.08714179529369;10.290408651419705;0.796733143873985;
10.0;66.23048512431573;9.853176958986296;0.14682304101370391;10.525546926187479;10.32218409395589;0.20336283223158913;
10.0;67.31576258646493;10.852774621491932;-0.8527746214919318;8.95645871543959;10.137626610372607;-1.1811678949330169;
10.0;68.41532001522135;10.995574287564267;-0.995574287564267;8.543206424244133;9.922164423057948;-1.3789579988138156;
10.0;69.48631751076333;10.709974955419739;-0.7099749554197388;8.785133852153592;9.768511643206008;-0.9833777910524152;
10.0;70.5001951398764;10.138776291130682;-0.13877629113068224;9.546260302749891;9.738477678279505;-0.1922173755296144;
10.0;71.48551283577503;9.853176958986296;0.14682304101370391;9.973615953047279;9.77025312081569;0.20336283223158913;
10.0;72.4993904648881;10.138776291130682;-0.13877629113068224;9.548001780359574;9.740219155889188;-0.1922173755296144;
10.0;73.57038796043007;10.709974955419739;-0.7099749554197388;8.603188584984832;9.586566376037247;-0.9833777910524152;
10.0;74.6699453891865;10.995574287564267;-0.995574287564267;7.992146189908773;9.371104188722589;-1.3789579988138156;
10.0;75.712382951514;10.424375623275068;-0.4243756232750684;8.69146323304258;9.279260816333398;-0.587797583290818;
10.0;76.65486074759094;9.424777960769433;0.5752220392305674;10.200483513937467;9.403750370063678;0.7967331438737881;
10.0;77.58305857706067;9.28197829469724;0.7180217053027604;10.553667875279691;9.559144627525301;0.9945232477543899;
10.0;78.55409630635205;9.710377292913819;0.2896227070861812;10.022977709905478;9.621824773792893;0.40115293611258457;
10.0;79.58225390207234;10.281575957202875;-0.2815759572028753;9.170878625724832;9.560886105135047;-0.3900074794102162;
10.0;80.65325139761433;10.70997495541988;-0.7099749554198809;8.423855534230464;9.407233325283077;-0.983377791052612;
10.0;81.68140899333463;10.281575957203017;-0.2815759572030174;8.956287177214787;9.346294656625199;-0.390007479410413;
