r;thetaT;omegaR;error;u;u_i;u_p;
0;0.0;0;0;0
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
30.0;0.0;0.0;30.0;48.04524000000001;6.492600000000001;41.552640000000004;
30.0;0.3284392319662056;3.284392319662056;26.715607680337946;49.27785942492267;12.27439181417874;37.003467610743925;
30.0;1.0995574287564276;7.7111819679022195;22.28881803209778;47.9701122031276;17.098137812685344;30.87197439044225;
30.0;2.399034390014024;12.994769612575965;17.005230387424035;44.332150319988045;20.778409773131656;23.553740546856385;
30.0;4.198310182524542;17.99275792510518;12.007242074894819;40.008104014012304;23.377017102980393;16.631086911031915;
30.0;6.454544906466302;22.562347239417598;7.437652760582402;35.28847750027519;24.986673913425637;10.301803586849559;
30.0;9.139178628624853;26.846337221585504;3.153662778414496;30.03729008235868;25.6691896119301;4.368100470428578;
30.0;12.252211349000193;31.130327203753403;-1.130327203753403;23.8589615525014;25.42456419849379;-1.5656026459923935;
30.0;15.722243234556192;34.700318855559985;-4.700318855559985;17.89696594876363;24.407321191773498;-6.510355243009869;
30.0;19.54927428529285;38.270310507366574;-8.270310507366574;11.162352751741869;22.617460591769223;-11.455107840027354;
30.0;23.690464601388484;41.41190316095635;-11.41190316095635;4.341206384272342;20.14769650967505;-15.806490125402709;
30.0;27.98873455016361;42.982699487751255;-12.982699487751255;-0.644200581554486;17.337980686535925;-17.98218126809041;
30.0;32.2156046659026;42.268701157389934;-12.268701157389934;-2.310442366633314;14.682788382053594;-16.99323074868691;
30.0;36.35679498199824;41.411903160956385;-11.411903160956385;-3.593465825443346;12.213024299959413;-15.806490125402759;
30.0;40.283785798985484;39.26990816987242;-9.269908169872423;-2.6328077933566316;10.206830773835623;-12.839638567192255;
30.0;43.96801718364988;36.84231384664393;-6.842313846643933;-0.7511895900754073;8.726017211144944;-9.477206801220351;
30.0;47.49516893563478;35.27151751984903;-5.271517519849027;0.28363973096656725;7.585155389499217;-7.30151565853265;
30.0;50.965200821190784;34.70031885556004;-4.700318855560042;0.05755713976896448;6.567912382778912;-6.510355243009948;
30.0;54.37811284031787;34.12912019127084;-4.129120191270843;-0.04490663650287363;5.674288190984076;-5.71919482748695;
30.0;57.73390499301606;33.55792152698193;-3.5579215269819287;-0.02375159784969849;4.904282814114647;-4.9280344119643456;
30.0;61.04685724589257;33.129522528765065;-3.129522528765065;-0.10767255188283542;4.226991548439312;-4.334664100322147;
30.0;64.3169695989474;32.70112353054827;-2.701123530548273;-0.09887939472199214;3.642414393958054;-3.7412937886800464;
30.0;67.52996208557333;32.12992486625936;-2.1299248662593584;0.23132268124476152;3.181456054402204;-2.9501333731574424;
30.0;70.70011467237758;31.701525868042495;-1.701525868042495;0.45644876452520355;2.813211826040447;-2.3567630615152435;
30.0;73.82742735936014;31.27312686982563;-1.2731268698256315;0.7742889589997393;2.5376817088727837;-1.7633927498730444;
30.0;76.91190014652103;30.84472787160891;-0.8447278716089102;1.1848432646681413;2.3548657028991835;-1.1700224382310422;
30.0;79.96781300046746;30.55912853946424;-0.5591285394642398;1.459416873918888;2.233859104388333;-0.774442230469445;
30.0;83.0237258544139;30.559128539464382;-0.5591285394643819;1.3384102754078093;2.112852505877451;-0.7744422304696419;
30.0;86.02251884193143;29.987929875175325;0.012070124824674622;2.1321829073451664;2.1154647222920073;0.016718185053158925;
30.0;89.06415172927063;30.416328873392047;-0.4163288733920467;1.4487107009236575;2.0253628275125006;-0.5766521265888432;
30.0;92.04866475018095;29.845130209103132;0.1548697908968677;2.2733880365921615;2.0588797476584006;0.2145082889337607;
30.0;95.0617377043057;30.13072954124752;-0.13072954124751845;1.84951534151417;2.030587260341613;-0.18107191882744286;
30.0;98.06053069182323;29.987929875175325;0.012070124824674622;2.049917661809328;2.033199476756169;0.016718185053158925;
30.0;101.07360364594798;30.13072954124752;-0.13072954124751845;1.8238350706119384;2.004906989439381;-0.18107191882744286;
30.0;104.0723966334655;29.987929875175183;0.01207012482481673;2.0242373909073237;2.007519205853968;0.016718185053355757;
30.0;107.08546958759025;30.13072954124752;-0.13072954124751845;1.7981547997097371;1.97922671853718;-0.18107191882744286;
30.0;110.08426257510779;29.987929875175325;0.012070124824674622;1.998557120004895;1.981838934951736;0.016718185053158925;
30.0;113.08305556262532;29.987929875175325;0.012070124824674622;2.001169336419451;1.9844511513662921;0.016718185053158925;
30.0;116.08184855014285;29.987929875175325;0.012070124824674622;2.003781552834007;1.9870633677808482;0.016718185053158925;
30.0;119.09492150426762;30.13072954124766;-0.13072954124766056;1.7776989616363899;1.9587708804640296;-0.18107191882763968;
30.0;122.09371449178514;29.987929875175183;0.01207012482481673;1.978101281931972;1.9613830968786163;0.016718185053355757;
30.0;125.07822751269545;29.845130209103132;0.1548697908968677;2.209408305958277;1.9949000170245164;0.2145082889337607;
30.0;128.0913004668202;30.13072954124752;-0.13072954124751845;1.7855356108802856;1.9666075297077283;-0.18107191882744286;
30.0;131.09009345433773;29.987929875175325;0.012070124824674622;1.9859379311754435;1.9692197461222845;0.016718185053158925;
30.0;134.1031664084625;30.13072954124766;-0.13072954124766056;1.759855339977826;1.9409272588054658;-0.18107191882763968;
60.0;137.10195939598003;29.987929875175325;30.012070124824675;48.06457040146772;6.495212216414557;41.56935818505316;
60.0;140.25783201617705;31.55872620197016;28.44127379802984;52.04413973414973;12.650472691784175;39.39366704236556;
60.0;143.77070380155473;35.128717853776834;24.871282146223166;52.482030019217746;18.033115573869793;34.44891444534795;
60.0;147.62629478550582;38.55590983951089;21.44409016048911;52.37599751861439;22.674045566402846;29.701951952211544;
60.0;151.79604503481593;41.697502493101126;18.302497506898874;51.985641743681455;26.6350720768459;25.35056966683555;
60.0;156.27995454948498;44.83909514669051;15.16090485330949;50.91538248665988;29.91619510519914;20.999187381460736;
60.0;161.03518342969136;47.55228880206374;12.447711197936258;49.85130417038364;32.61012876265651;17.241175407727138;
60.0;166.03317174222056;49.97988312529202;10.02011687470798;48.65742609843634;34.77868245668081;13.878743641755529;
60.0;171.27391948707265;52.407477448520865;7.592522551479135;46.93816806305506;36.42185618727193;10.516311875783133;
60.0;176.74314669764033;54.69227210567681;5.307727894323193;44.92222487185368;37.570554658161356;7.351670213692324;
60.0;182.39801347410196;56.54866776461631;3.4513322353836884;43.09789084378622;38.317491980543096;4.780398863243122;
60.0;188.25279978306475;58.54786308962787;1.4521369103721327;40.64310085959935;38.63176345068583;2.0113374089135165;
60.0;194.27894569131425;60.26145908249504;-0.2614590824950369;38.213034638397374;38.57517847605226;-0.3621438376548857;
60.0;200.4764511988505;61.97505507536249;-1.9750550753624907;35.41211197241862;38.147737056642306;-2.7356250842236816;
60.0;206.816756372459;63.40305173608499;-3.40305173608499;32.6977224768883;37.41124859991879;-4.713526123030487;
60.0;213.2855812455325;64.68824873073515;-4.688248730735154;29.902980751656596;36.39661780961309;-6.4936370579564935;
60.0;219.8972057846783;66.11624539145794;-6.116245391457937;26.601401885230068;35.07293998199376;-8.471538096763693;
60.0;226.6230700566819;67.25864272003605;-7.25864272003605;23.44816559671427;33.50202452452356;-10.053858927809294;
60.0;233.4631740615433;68.40104004861388;-8.40104004861388;20.047691678348045;31.683871437202548;-11.636179758854501;
60.0;240.40323783265532;69.40063771112023;-9.400637711120226;16.62867493774182;29.64938542376191;-13.020710486020091;
60.0;247.4432613700179;70.40023537362572;-10.40023537362572;12.993325271017328;27.39856648420183;-14.405241213184501;
60.0;254.58324467363104;71.3998330361315;-11.399833036131497;9.141642678172946;24.93141461852225;-15.789771940349304;
60.0;261.7660678770659;71.8282320343485;-11.828232034348503;5.9884063896568485;22.37154864164855;-16.3831422519917;
60.0;268.9917309803224;72.25663103256522;-12.256631032565224;2.742455989947082;19.718968553580783;-16.9765125636337;
60.0;276.20311411697173;72.11383136649317;-12.113831366493173;0.31857070949103417;17.09729316924433;-16.778722459753297;
60.0;283.3859373204066;71.8282320343485;-11.828232034348503;-1.845715059621071;14.537427192370629;-16.3831422519917;
60.0;290.4116808911619;70.2574357075531;-10.2574357075531;-1.8899381527613226;12.317512956541986;-14.207451109303308;
60.0;297.2803448292378;68.68663938075883;-8.686639380758834;-1.594209504858334;10.437550461758159;-12.031759966616493;
60.0;303.9633692014197;66.83024372181933;-6.830243721819329;-0.5011395006852712;8.95934911548202;-9.460488616167291;
60.0;310.54643380735104;65.83064605931327;-5.830646059313267;-0.3784771936766518;7.697480695325442;-8.075957889002094;
60.0;317.0438186136391;64.97384806288039;-4.973848062880393;-0.26817676816200997;6.6210404975568675;-6.8892172657188775;
60.0;323.45552362028366;64.11705006644581;-4.117050066445813;0.027551879743366037;5.7300285221766645;-5.702476642433298;
60.0;329.8243887271066;63.68865106822966;-3.6886510682296603;-0.17737567280168243;4.931730657990402;-5.109106330792084;
60.0;336.1218540008934;62.9746527378677;-2.9746527378677;0.16780050107337718;4.287956312461074;-4.120155811387697;
60.0;342.37647937485855;62.54625373965155;-2.546253739651547;0.21011057837920344;3.736896078125686;-3.5267854997464827;
60.0;348.55970491578756;61.832255409290156;-1.8322554092901555;0.8025243821042278;3.340359362447111;-2.537834980342883;
60.0;354.7000905568949;61.403856411073434;-1.4038564110734342;1.0920720892617175;3.0365367579625984;-1.9444646687008809;
60.0;360.7976362981805;60.975457412856144;-0.9754574128561444;1.4743339076141804;2.8254282646722717;-1.3510943570580913;
60.0;366.83806217303726;60.40425874856737;-0.4042587485673721;2.1780046447716366;2.737938586307321;-0.5599339415356843;
60.0;372.878488047894;60.40425874856737;-0.4042587485673721;2.090514966406686;2.6504489079423705;-0.5599339415356843;
60.0;378.86179405632186;59.8330600842786;0.1669399157214002;2.9178045184895187;2.686578044502796;0.2312264739867228;
60.0;384.84510006474966;59.83306008427803;0.16693991572196865;2.9539336550508546;2.7227071810633445;0.23122647398751012;
60.0;390.799846139963;59.54746075213336;0.452539247866639;3.44745240683575;2.8206457250866426;0.6268066817491074;
60.0;396.7545922151764;59.54746075213393;0.4525392478660706;3.5453909508581374;2.9185842691098176;0.62680668174832;
60.0;402.7093382903898;59.54746075213393;0.4525392478660706;3.6433294948813124;3.0165228131329926;0.62680668174832;
60.0;408.6783643322104;59.69026041820598;0.3097395817940196;3.5125732312927695;3.0835566534248544;0.4290165778679151;
