r;thetaT;y;error;u;u
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
1000;0;0;1000;1601.508;12
1000;0.271319366;2.713193655;997.2868063;1813.582799;12
1000;0.956757763;6.854383971;993.145616;2022.78346;12
1000;2.099155091;11.42397329;988.5760267;2230.4018;12
1000;3.669951418;15.70796327;984.2920367;2437.48858;12
1000;5.68342671;20.13475292;979.8652471;2643.419523;12
1000;8.096741066;24.13314357;975.8668564;2849.078505;12
1000;10.89561452;27.98873455;972.0112654;3054.100851;12
1000;14.05148714;31.5587262;968.4412738;3258.746159;12
1000;17.52151903;34.70031886;965.2996811;3463.304933;12
1000;21.31999014;37.98471118;962.0152888;3666.95511;12
1000;25.38978063;40.69790483;959.3020952;3870.809257;12
1000;29.75945041;43.69669782;956.3033022;4073.618826;12
1000;34.37187962;46.12429214;953.8757079;4276.694175;12
1000;39.22706827;48.55188646;951.4481135;4479.244144;12
1000;44.29645642;50.69388146;949.3061185;4681.726122;12
1000;49.59432403;52.97867611;947.0213239;4883.515835;12
1000;55.09211117;54.97787144;945.0221286;5085.268463;12
1000;60.77553788;56.8342671;943.1657329;5286.81712;12
1000;66.61604422;58.40506342;941.5949366;5488.421405;12
1000;72.64219013;60.26145908;939.7385409;5689.228348;12
1000;78.79685574;61.54665608;938.4533439;5890.54831;12
1000;85.10860098;63.1174524;936.8825476;6091.13274;12
1000;91.53458595;64.25984973;935.7401503;6292.063302;12
1000;98.10337059;65.68784639;934.3121536;6492.289238;12
1000;104.772115;66.68744406;933.3125559;6692.89221;12
1000;111.5693791;67.97264105;932.0273589;6892.82146;12
1000;118.452323;68.82943905;931.170561;7093.158652;12
1000;125.4352267;69.82903671;930.1709633;7293.081722;12
1000;132.5180901;70.82863437;929.1713656;7492.788458;12
1000;139.6723534;71.5426327;928.4573673;7692.736251;12
1000;146.9122965;72.3994307;927.6005693;7892.300825;12
1000;154.2379193;73.2562287;926.7437713;8091.679972;12
1000;161.6206621;73.82742736;926.1725726;8291.331079;12
1000;169.0748046;74.54142569;925.4585743;8490.629874;12
1000;176.5860671;75.11262435;924.8873756;8690.002839;12
1000;184.1401694;75.54102335;924.4589766;8889.48088;12
1000;191.7656716;76.25502168;923.7449783;9088.408818;12
1000;199.4340136;76.68342068;923.3165793;9287.639622;12
1000;207.1309156;76.96902001;923.03098;9487.006406;12
1000;214.8706575;77.39741901;922.602581;9686.082687;12
1000;222.6532393;77.82581801;922.174182;9885.066253;12
1000;230.492941;78.39701667;921.6029833;10083.72841;12
1000;238.3469226;78.53981634;921.4601837;10282.95303;12
1000;246.2151842;78.68261601;921.317384;10482.14675;12
1000;254.1405657;79.25381467;920.7461853;10680.62348;12
1000;262.0945071;79.539414;920.460586;10879.43398;12
1000;270.0484485;79.539414;920.460586;11078.64006;12
1000;278.0309498;79.82501333;920.1749867;11277.38875;12
1000;286.070571;80.396212;919.603788;11475.61824;12
1000;294.1101922;80.396212;919.603788;11674.63889;12
1000;302.1640934;80.53901166;919.4609883;11873.43085;12
1000;310.2465545;80.824611;919.175389;12071.96321;12
1000;318.3718555;81.25301;918.74699;12270.20506;12
1000;326.4685966;80.96741066;919.0325893;12469.49767;12
1000;334.6081775;81.39580966;918.6041903;12667.70862;12
1000;342.7763184;81.68140899;918.318591;12866.05555;12
1000;350.9301794;81.53860933;918.4613907;13065.02676;12
1000;359.0983203;81.68140899;918.318591;13263.57148;12
1000;367.2950211;81.96700833;918.0329917;13461.8566;12
1000;375.5060019;82.10980799;917.890192;13660.3086;12
1000;383.7027027;81.96700833;918.0329917;13859.18709;12
1000;391.9279635;82.25260766;917.7473923;14057.4104;12
1000;400.1675042;82.39540732;917.6045927;14255.8006;12
1000;408.392765;82.25260766;917.7473923;14454.61728;12
1000;416.6323057;82.39540732;917.6045927;14653.00747;12
1000;424.9004064;82.68100666;917.3189933;14851.13807;12
1000;433.1542271;82.53820699;917.461793;15049.89294;12
1000;441.4080478;82.53820699;917.461793;15248.45002;12
1000;449.7047084;82.96660599;917.033394;15446.32102;12
1000;457.9728091;82.68100666;917.3189933;15645.24278;12
1000;466.2409097;82.68100666;917.3189933;15843.76895;12
1000;474.5518503;83.10940565;916.8905943;16041.60905;12
1000;482.8342309;82.82380632;917.1761937;16240.4999;12
1000;491.1166116;82.82380632;917.1761937;16438.99517;12
1000;499.4275521;83.10940565;916.8905943;16637.03305;12
1000;507.7527727;83.25220532;916.7477947;16835.23782;12
1000;516.0351533;82.82380632;917.1761937;17034.32646;12
1000;524.3603738;83.25220532;916.7477947;17232.13565;12
1000;532.6998743;83.39500499;916.604995;17430.30951;12
1000;540.9965349;82.96660599;917.033394;17629.36725;12
1000;549.3360354;83.39500499;916.604995;17827.14553;12
1000;557.6755359;83.39500499;916.604995;18025.51718;12
1000;565.9864765;83.10940565;916.8905943;18224.34623;12
1000;574.311697;83.25220532;916.7477947;18422.55099;12
1000;582.6654775;83.53780465;916.4621953;18620.49616;12
1000;590.990698;83.25220532;916.7477947;18819.2943;12
1000;599.3301985;83.39500499;916.604995;19017.46816;12
1000;607.6982589;83.68060432;916.3193957;19215.38243;12
1000;616.0234795;83.25220532;916.7477947;19414.37836;12
1000;624.36298;83.39500499;916.604995;19612.55222;12
1000;632.7167604;83.53780465;916.4621953;19810.69518;12
1000;641.0562609;83.39500499;916.604995;20009.26462;12
1000;649.3957614;83.39500499;916.604995;20207.63627;12
1000;657.7638219;83.68060432;916.3193957;20405.55054;12
1000;666.1033224;83.39500499;916.604995;20604.31777;12
1000;674.4428229;83.39500499;916.604995;20802.68942;12
1000;682.8108833;83.68060432;916.3193957;21000.60369;12
1000;691.1503838;83.39500499;916.604995;21199.37092;12
1000;699.5041643;83.53780465;916.4621953;21397.51388;12
1000;707.8865047;83.82340398;916.176596;21595.39724;12
1000;716.2260052;83.39500499;916.604995;21794.36226;12
1000;724.5655057;83.39500499;916.604995;21992.73391;12
1000;732.9335661;83.68060432;916.3193957;22190.64818;12
