r;thetaT;omegaR;error;u;u_i;u_p;
0;0.0;0;0;0
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
0;0.0;0.0;0.0;0.0;0.0;0.0;
40.0;0.0;0.0;40.0;64.06032;8.6568;55.40352;
40.0;0.2713193655373003;2.713193655373003;37.286806344626996;68.37191865537089;16.726410629104176;51.64550802626672;
40.0;0.985317695898617;7.139983303613167;32.860016696386836;69.35199024850127;23.837975442536216;45.514014805965054;
40.0;2.1848348909056288;11.995171950070118;28.004828049929884;68.68793160312333;29.898780329102042;38.789151274021286;
40.0;3.8698709505583357;16.850360596527068;23.149639403472932;66.97311303087918;34.90882528880165;32.06428774207752;
40.0;6.026145908249513;21.562749576911767;18.437250423088233;64.43622933938084;38.89901502536641;25.537214314014438;
40.0;8.625099830764704;25.989539225151912;14.010460774848088;61.33688003997182;41.93115894625903;19.40572109371279;
40.0;11.638172784889461;30.13072954124757;9.869270458752428;57.73687454011472;44.067066458942236;13.669808081172484;
40.0;15.036804837409328;33.986320525198664;6.013679474801336;53.69802224727238;45.36854697087874;8.329475276393634;
40.0;18.778156088502627;37.41351251093299;2.586487489067011;49.510827376519465;45.92831459326262;3.582512783256848;
40.0;22.876506504776586;40.98350416273959;-0.9835041627395924;44.35322480860186;45.71546462236252;-1.3622398137606566;
40.0;27.274736219802293;43.98229715025707;-3.982297150257068;39.33778387784862;44.853615873103884;-5.515831995255263;
40.0;31.95856526697253;46.838290471702386;-6.838290471702386;33.90203897634874;43.373673049218056;-9.471634072869316;
40.0;36.91371367968007;49.551484127075405;-9.551484127075405;28.07689480783378;41.3065408544364;-13.22964604660262;
40.0;42.11162152471045;51.97907845030379;-11.979078450303788;22.12195088364728;38.71402869622165;-16.592077812574374;
40.0;47.53800883545646;54.263873107460086;-14.263873107460086;15.870321803639467;35.62704127830514;-19.756719474665676;
40.0;53.19287561191808;56.54866776461624;-16.54866776461624;9.124217463930115;32.045578600686895;-22.92136113675678;
40.0;58.99054205445198;57.97666442533895;-17.976664425338953;3.255806710191159;28.15506888575504;-24.89926217556388;
40.0;64.83104839680755;58.405063423555674;-18.405063423555674;-1.3207874275767644;24.17184505962912;-25.492632487205885;
40.0;70.61443487273422;57.83386475926676;-17.83386475926676;-4.389232023254674;20.312240048428606;-24.70147207168328;
40.0;76.15506191633803;55.40627043603806;-15.406270436038056;-4.361025305049832;16.978015000661248;-21.33904030571108;
40.0;81.36724972797565;52.121878116376195;-12.121878116376195;-2.43526977774016;14.354598138715112;-16.78986791645527;
40.0;86.30811817407596;49.408684461003105;-9.408684461003105;-0.7134852950570512;12.31837064766482;-13.03185594272187;
40.0;91.09190698749677;47.83788813420813;-7.837888134208129;-0.23406990237457315;10.622094897659496;-10.856164800034069;
40.0;95.80429596788146;47.12388980384688;-7.123889803846879;-0.7868716143197112;9.080342666310955;-9.867214280630666;
40.0;100.44528511523002;46.40989147348563;-6.409891473485629;-1.1851498076080702;7.693113953619195;-8.878263761227265;
40.0;104.98631449632799;45.41029381097971;-5.410293810979709;-0.9715148670152987;6.522218167046965;-7.493733034062264;
40.0;109.42738411117539;44.41069614847393;-4.4106961484739315;-0.5415470003032246;5.5676553065942365;-6.109202306897461;
40.0;113.79705389298665;43.69669781811268;-3.696697818112682;-0.35263582269576954;4.767615964798289;-5.120251787494059;
40.0;118.09532384176177;42.98269948775115;-2.982699487751148;-0.009201126431077178;4.122100141659185;-4.1313012680902625;
40.0;122.35075389071521;42.55430048953443;-2.554300489534427;0.03136747326588418;3.5692984297141446;-3.5379309564482604;
40.0;126.53478410663253;41.84030215917318;-1.8403021591731772;0.6220397993810276;3.1710202364258855;-2.548980437044858;
40.0;130.70453435594263;41.697502493100984;-1.6975024931009841;0.45245641370471423;2.8036467468689703;-2.351190333164256;
40.0;134.8171647388238;41.126303828811785;-1.1263038288117855;0.9998621545962652;2.5598920722375236;-1.5600299176412584;
40.0;138.85839528866885;40.412305498450394;-0.41230549845039377;1.8995815180252302;2.470660916262889;-0.5710793982376591;
40.0;142.92818577172835;40.697904830595064;-0.6979048305950641;1.352960746826249;2.3196203528255053;-0.9666596059992563;
40.0;146.95513635496619;40.26950583237834;-0.2695058323783428;1.88800460622493;2.261293900582184;-0.3732892943572541;
40.0;150.98208693820402;40.26950583237834;-0.2695058323783428;1.829678153981609;2.202967448338863;-0.3732892943572541;
40.0;154.99475755483462;40.12670616630601;-0.12670616630600762;2.0000465093504616;2.175545699826917;-0.17549919047645549;
40.0;158.97886823825075;39.84110683416134;0.15889316583866275;2.430014376062862;2.2099333587777203;0.22008101728514173;
40.0;162.99153885488136;40.12670616630601;-0.12670616630600762;2.007012419789319;2.1825116102657742;-0.17549919047645549;
40.0;166.98992950490472;39.98390650023367;0.016093499766327568;2.208285478889546;2.1859945654852027;0.02229091340434312;
40.0;170.95976022171365;39.698307168089286;0.3016928319107137;2.669158049332866;2.2512869281673193;0.4178711211655467;
40.0;174.98671080495149;40.26950583237834;-0.2695058323783428;1.8196711815667441;2.1929604759239982;-0.3732892943572541;
40.0;178.98510145497485;39.98390650023367;0.016093499766327568;2.21873434454777;2.1964434311434267;0.02229091340434312;
40.0;182.969212138391;39.84110683416134;0.15889316583866275;2.450912107379372;2.23083109009423;0.22008101728514173;
40.0;186.99616272162885;40.26950583237863;-0.269505832378627;1.7992153434932;2.1725046378508477;-0.3732892943576478;
40.0;190.98027340504495;39.84110683416105;0.15889316583894697;2.4269733140872476;2.2068922968017124;0.2200810172855354;
40.0;194.99294402167556;40.12670616630601;-0.12670616630600762;2.003971357813311;2.1794705482897663;-0.17549919047645549;
40.0;198.99133467169892;39.98390650023367;0.016093499766327568;2.205244416913538;2.1829535035091947;0.02229091340434312;
40.0;202.97544535511508;39.84110683416162;0.15889316583837854;2.4374221797446847;2.2173411624599364;0.22008101728474808;
40.0;206.98811597174569;40.12670616630601;-0.12670616630600762;2.014420223471535;2.1899194139479903;-0.17549919047645549;
40.0;210.98650662176905;39.98390650023367;0.016093499766327568;2.215693282571762;2.1934023691674187;0.02229091340434312;
40.0;214.95633733857798;39.698307168089286;0.3016928319107137;2.676565853015082;2.2586947318495354;0.4178711211655467;
40.0;218.98328792181582;40.26950583237834;-0.2695058323783428;1.8270789852489602;2.2003682796062143;-0.3732892943572541;
40.0;222.98167857183918;39.98390650023367;0.016093499766327568;2.226142148229986;2.2038512348256427;0.02229091340434312;
40.0;226.96578925525534;39.84110683416162;0.15889316583837854;2.4583199110611327;2.2382388937763844;0.22008101728474808;
40.0;230.97845987188595;40.12670616630601;-0.12670616630600762;2.035317954787983;2.2108171452644383;-0.17549919047645549;
40.0;234.99113048851655;40.12670616630601;-0.12670616630600762;2.007896206276037;2.183395396752492;-0.17549919047645549;
40.0;238.97524117193265;39.84110683416105;0.15889316583894697;2.437864072988892;2.217783055703357;0.2200810172855354;
40.0;242.98791178856325;40.12670616630601;-0.12670616630600762;2.0148621167149554;2.1903613071914108;-0.17549919047645549;
40.0;246.97202247197941;39.84110683416162;0.15889316583837854;2.4448299834269007;2.2247489661421525;0.22008101728474808;
40.0;250.98469308861002;40.12670616630601;-0.12670616630600762;2.021828027153751;2.1973272176302063;-0.17549919047645549;
40.0;254.98308373863338;39.98390650023367;0.016093499766327568;2.223101086253978;2.2008101728496348;0.02229091340434312;
40.0;258.9529144554423;39.698307168089;0.30169283191099794;2.683973656697753;2.2661025355318127;0.41787112116594033;
40.0;262.97986503868015;40.26950583237863;-0.269505832378627;1.8344867889307825;2.2077760832884303;-0.3732892943576478;
40.0;266.99253565531075;40.12670616630601;-0.12670616630600762;2.004855144300029;2.180354334776484;-0.17549919047645549;
40.0;270.9623663721197;39.698307168089286;0.3016928319107137;2.6635178186241477;2.245646697458601;0.4178711211655467;
40.0;274.9893169553575;40.26950583237806;-0.2695058323780586;1.814030950858481;2.1873202452153415;-0.3732892943568604;
40.0;278.9591476721664;39.698307168089286;0.3016928319107137;2.670483729063005;2.252612607897458;0.4178711211655467;
40.0;282.971818288797;40.12670616630601;-0.12670616630600762;2.0496916689090567;2.225190859385512;-0.17549919047645549;
40.0;286.97020893882035;39.98390650023339;0.016093499766611785;2.250964728009739;2.2286738146050022;0.022290913404736785;
40.0;290.95431962223654;39.841106834161906;0.15889316583809432;2.483142490840037;2.2630614735556827;0.2200810172843544;
40.0;294.96699023886714;40.12670616630601;-0.12670616630600762;2.060140534567281;2.2356397250437365;-0.17549919047645549;
40.0;298.97966085549774;40.12670616630601;-0.12670616630600762;2.032718786055335;2.2082179765317904;-0.17549919047645549;
40.0;302.94949157230667;39.698307168089286;0.3016928319107137;2.691381460379454;2.273510339213907;0.4178711211655467;
40.0;306.9764421555445;40.26950583237806;-0.2695058323780586;1.8418945926137873;2.2151838869706477;-0.3732892943568604;
40.0;310.97483280556787;39.98390650023396;0.01609349976604335;2.240957755593964;2.218666842190015;0.022290913403949453;
40.0;314.95894348898395;39.84110683416077;0.1588931658392312;2.4731355184268704;2.2530545011409413;0.22008101728592908;
40.0;318.98589407222187;40.269505832379195;-0.26950583237919545;1.8214387545390007;2.194728048897436;-0.3732892943584351;
40.0;322.97000475563794;39.84110683416077;0.1588931658392312;2.4491967251342914;2.2291157078483623;0.22008101728592908;
40.0;326.98267537226855;40.12670616630601;-0.12670616630600762;2.026194768859961;2.201693959336416;-0.17549919047645549;
40.0;330.9667860556847;39.84110683416134;0.15889316583866275;2.4561626355723614;2.2360816182872196;0.22008101728514173;
40.0;334.9651767057081;39.98390650023396;0.01609349976604335;2.261855486910536;2.2395645735065868;0.022290913403949453;
